SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2821,Bitcoin,BTC,2021-01-17 23:59:59,36722.34987621,34069.32218533,36163.64923243,35791.27792129,52359854336.21185,665831621390.9865
2822,Bitcoin,BTC,2021-01-18 23:59:59,37299.28580604,34883.84404829,35792.23666766,36630.07568284,49511702429.3542,681470030572.0747
2823,Bitcoin,BTC,2021-01-19 23:59:59,37755.89185872,36069.80639361,36642.23272357,36069.80639361,57244195485.50075,671081200699.8711
2824,Bitcoin,BTC,2021-01-20 23:59:59,36378.32670045,33570.47780293,36050.11269824,35547.7508855,66834573161.29872,661400102161.1556
2825,Bitcoin,BTC,2021-01-21 23:59:59,35552.67949732,30250.74963896,35549.39740902,30825.69850603,75643067687.74416,573565664943.0017
2826,Bitcoin,BTC,2021-01-22 23:59:59,33811.85156014,28953.372751,30817.62519242,33005.76356216,77207272511.13013,614160521491.5516
2827,Bitcoin,BTC,2021-01-23 23:59:59,33360.97818593,31493.15966789,32985.75691326,32067.64288212,48354737975.28921,596733137645.0635
2828,Bitcoin,BTC,2021-01-24 23:59:59,32944.00894195,31106.68577002,32064.37631516,32289.37808687,48643830599.361565,600888568009.5015
2829,Bitcoin,BTC,2021-01-25 23:59:59,34802.74297839,32087.78796567,32285.79891345,32366.39304887,59897054837.94314,602350097075.4393
2830,Bitcoin,BTC,2021-01-26 23:59:59,32794.5495902,31030.26596571,32358.6131737,32569.84955679,60255421470.40675,606169260386.9784
2831,Bitcoin,BTC,2021-01-27 23:59:59,32564.03024112,29367.13921776,32564.03024112,30432.54707881,62576762015.46601,566417413553.9666
2832,Bitcoin,BTC,2021-01-28 23:59:59,33858.31099229,30023.2068317,30441.0418168,33466.09635821,76517157706.32,622910073819.62
2833,Bitcoin,BTC,2021-01-29 23:59:59,38406.26096472,32064.81418675,34318.6716924,34316.38765032,117894572510.68,638768671361.87
2834,Bitcoin,BTC,2021-01-30 23:59:59,34834.70830094,32940.18691419,34295.9350435,34269.52154165,65141828798.26,637924573283.79
2835,Bitcoin,BTC,2021-01-31 23:59:59,34288.33147504,32270.17602471,34270.87759214,33114.35774753,52754542671.38,616452744533.29
2836,Bitcoin,BTC,2021-02-01 23:59:59,34638.21348502,32384.22810648,33114.57724298,33537.1768196,61400400660.27,624349044409.12
2837,Bitcoin,BTC,2021-02-02 23:59:59,35896.88214463,33489.21867158,33533.20067102,35510.28903716,63088585433.12,661114581663.76
2838,Bitcoin,BTC,2021-02-03 23:59:59,37480.18789413,35443.98272623,35510.82121346,37472.09010368,61166818158.83,697672910488.43
2839,Bitcoin,BTC,2021-02-04 23:59:59,38592.17637724,36317.49880728,37475.10402915,36926.06446515,68838074391.61,687542752523.24
2840,Bitcoin,BTC,2021-02-05 23:59:59,38225.90594551,36658.76353663,36931.54564785,38144.30686267,58598066402.24,710266752533.8
2841,Bitcoin,BTC,2021-02-06 23:59:59,40846.54690329,38138.38833975,38138.38833975,39266.01073494,71326033652.98,731192490092.84
2842,Bitcoin,BTC,2021-02-07 23:59:59,39621.8354917,37446.15388489,39250.1905137,38903.44147971,65500641143.12,724478833211.11
2843,Bitcoin,BTC,2021-02-08 23:59:59,46203.93143652,38076.32280719,38886.82728995,46196.46371944,101467222686.67,860342706259.7
2844,Bitcoin,BTC,2021-02-09 23:59:59,48003.72396182,45166.96004492,46184.99146609,46481.10423596,91809846885.69,865682956618.92
2845,Bitcoin,BTC,2021-02-10 23:59:59,47145.56819859,43881.1525986,46469.76120204,44918.18449192,87301089896.44,836616907526.53
2846,Bitcoin,BTC,2021-02-11 23:59:59,48463.46712511,44187.7623505,44898.71161149,47909.33119483,81388911809.85,892364856135.99
2847,Bitcoin,BTC,2021-02-12 23:59:59,48745.73380014,46424.97781781,47877.03437451,47504.85118326,76555041195.79,884874050611.84
2848,Bitcoin,BTC,2021-02-13 23:59:59,48047.74459107,46392.28233345,47491.20255503,47105.51747252,70250456155.05,877478894463.66
2849,Bitcoin,BTC,2021-02-14 23:59:59,49487.64087275,47114.50958649,47114.50958649,48717.2902111,71248675228.22,907551330153.22
2850,Bitcoin,BTC,2021-02-15 23:59:59,48875.57161074,46347.47709171,48696.53665993,47945.05683234,77069903166.39,893210080038.98
2851,Bitcoin,BTC,2021-02-16 23:59:59,50341.10325246,47201.30375472,47944.45800728,49199.87134362,77049582885.51,916623418253.64
2852,Bitcoin,BTC,2021-02-17 23:59:59,52533.91431173,49072.3771403,49207.27643233,52149.00753587,80820545404.32,971611626454.28
2853,Bitcoin,BTC,2021-02-18 23:59:59,52474.10724863,51015.76455379,52140.97271656,51679.79669449,52054723578.67,962915078024.48
2854,Bitcoin,BTC,2021-02-19 23:59:59,56113.65054685,50937.27572157,51675.98128513,55888.13368221,63495496917.85,1041380696669.48
2855,Bitcoin,BTC,2021-02-20 23:59:59,57505.22818745,54626.5597762,55887.33571358,56099.52051348,68145460025.92,1045371087640.23
2856,Bitcoin,BTC,2021-02-21 23:59:59,58330.57214185,55672.60951328,56068.56824551,57539.9436679,51897585190.58,1072263294724.94
2857,Bitcoin,BTC,2021-02-22 23:59:59,57533.38932549,48967.56518819,57532.73886407,54207.31906543,92052420331.57,1010205212981.29
2858,Bitcoin,BTC,2021-02-23 23:59:59,54204.92975578,45290.59026818,54204.92975578,48824.42686909,106102492824.11,909925854460.21
2859,Bitcoin,BTC,2021-02-24 23:59:59,51290.13669492,47213.49816173,48835.08766112,49705.33331637,63695521388.34,926393090750.51
2860,Bitcoin,BTC,2021-02-25 23:59:59,51948.96698227,47093.85301914,49709.08242476,47093.85301914,54506565949.11,877766126138.33
2861,Bitcoin,BTC,2021-02-26 23:59:59,48370.78525976,44454.84211387,47180.4640539,46339.76008289,350967941479.06,863752275053.08
2862,Bitcoin,BTC,2021-02-27 23:59:59,48253.27010115,45269.0257658,46344.77223734,46188.45127539,45910946381.8,860978135421.44
2863,Bitcoin,BTC,2021-02-28 23:59:59,46716.43099302,43241.61822653,46194.01635186,45137.77046805,53443887450.79,841428977514.57
2864,Bitcoin,BTC,2021-03-01 23:59:59,49784.01528954,45115.09311478,45159.50305253,49631.24137077,53891300112.16,925235527882.27
2865,Bitcoin,BTC,2021-03-02 23:59:59,50127.50988383,47228.84534569,49612.10703748,48378.98805435,47530897720.12,901933683269.16
2866,Bitcoin,BTC,2021-03-03 23:59:59,52535.1357839,48274.32049678,48415.8149783,50538.24341445,53220811974.56,942236576904.51
2867,Bitcoin,BTC,2021-03-04 23:59:59,51735.09105293,47656.92904603,50522.30503036,48561.1661539,52343816679.73,905414104807.24
2868,Bitcoin,BTC,2021-03-05 23:59:59,49396.43086209,46542.51494044,48527.03198074,48927.3045548,48625928883.43,912285065720.02
2869,Bitcoin,BTC,2021-03-06 23:59:59,49147.21821972,47257.5269076,48899.23078213,48912.38173056,34363564660.53,912054166028.5
2870,Bitcoin,BTC,2021-03-07 23:59:59,51384.36601025,48918.6802649,48918.6802649,51206.69295308,43137459377.73,954880954584.64
2871,Bitcoin,BTC,2021-03-08 23:59:59,52314.06880137,49506.05345768,51174.1169466,52246.52230995,48597428048.17,974321883623.25
2872,Bitcoin,BTC,2021-03-09 23:59:59,54824.11781138,51981.83131223,52272.96978194,54824.11781138,50912227384.88,1022439972862.18
2873,Bitcoin,BTC,2021-03-10 23:59:59,57258.25497592,53290.89116852,54824.01119917,56008.54940114,57295577613.75,1044580057477.4
2874,Bitcoin,BTC,2021-03-11 23:59:59,58091.0627026,54484.59308946,55963.18008858,57805.12301924,56772343594.84,1078135604117.97
2875,Bitcoin,BTC,2021-03-12 23:59:59,57996.61948977,55376.6500885,57821.21874746,57332.08896391,55689944702.29,1069366321843.62
2876,Bitcoin,BTC,2021-03-13 23:59:59,61683.86401412,56217.97238151,57343.37024739,61243.08476552,60669829814.23,1142369158666.94
2877,Bitcoin,BTC,2021-03-14 23:59:59,61597.91839583,59302.31697742,61221.13429704,59302.31697742,43901225563.85,1106226132524.59
2878,Bitcoin,BTC,2021-03-15 23:59:59,60540.99271158,55393.16536281,59267.4290492,55907.20022619,66419369889.68,1042946024859.64
